user_id,discrimination,difficulty,gender,occupation,zip_code,age
0,0.89970917,0.527698,0,19,622,24
1,0.86449635,0.48595923,1,13,689,53
2,0.8058234,0.5241882,0,20,270,23
3,1.0035288,0.6379425,0,19,331,24
4,1.0138773,0.49981415,1,13,133,33
5,0.9896773,0.60534096,0,6,758,42
6,1.5915216,0.70242256,0,0,651,57
8,1.0219599,0.6604784,0,18,1,29
9,0.8381264,0.5346637,0,9,642,53
10,0.80521023,0.5092057,1,13,262,39
12,1.1112245,0.5321978,0,3,243,47
13,1.0332928,0.65568644,0,17,416,45
14,1.4021502,0.6455393,1,3,745,49
15,0.894834,0.48472196,0,5,97,21
17,1.4600786,0.589741,1,13,297,35
19,1.4774233,0.50123805,1,8,727,42
20,1.0259651,0.6203383,0,20,258,26
21,0.9016495,0.50606775,0,20,311,25
22,1.1609204,0.68791974,1,1,364,30
24,0.9211135,0.58551997,0,4,417,39
25,1.9987831,0.5230167,0,4,192,49
27,1.1150535,0.5688489,0,20,433,32
28,1.4204044,0.71358114,0,14,689,41
30,0.81248516,0.6675419,0,1,88,24
31,0.9212498,0.5525888,1,18,575,28
36,1.3505598,0.5681417,0,18,415,23
37,1.1836035,0.5615106,1,13,408,28
39,0.98520166,0.7008231,0,17,230,38
40,0.9995805,0.6540577,0,4,591,33
41,0.89406484,0.5470442,0,0,151,30
42,1.1455259,0.5562417,1,10,186,29
43,1.4583001,0.5773513,0,19,352,26
48,0.98276776,0.67611504,1,18,545,23
50,1.2589295,0.52668864,0,3,142,28
53,0.89203036,0.62510407,0,6,512,22
54,0.9936828,0.6508428,0,14,4,37
56,0.96361667,0.5314215,0,12,603,16
57,0.9762403,0.6466842,0,14,389,27
58,2.423011,0.7053795,0,3,81,49
59,2.214699,0.5543388,0,7,60,50
61,1.3431426,0.68515515,1,0,741,27
62,1.3393755,0.51036704,0,11,542,31
63,0.9012677,0.58559185,0,3,325,32
64,2.191486,0.6344662,1,3,363,51
68,1.0756963,0.544243,0,4,429,24
71,0.96684337,0.5005752,1,0,527,48
72,1.6161048,0.7168745,0,18,317,24
73,1.175635,0.57792383,0,17,788,39
74,0.86753416,0.5189941,0,5,84,24
75,0.80760986,0.5066358,0,18,31,20
78,1.0532591,0.659856,1,0,42,39
